time_s,E,N,U,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
53.975,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.008,-0.022,-0.013,-0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15840,-184,-245,-54,3,9,1,12.9960097,77.4749907,197.00,0.500,0.00,0.00,2.12,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.000,-0.000,-0.000,-0.000,0,0
54.976,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.017,0.007,0.005,-1.55,-0.000281,-0.000244,-0.003866,-0.000649,0.000734,-0.000123,15865,-171,-207,-46,8,-18,1,12.9960233,77.4749908,197.00,0.500,0.00,0.00,2.12,0.004,0.602,-0.000,-0.004,-0.602,0.602,1,1,1,0,0,0,0.000,1.00,0.08,0.00,0.001,-0.000,0.000,0.000,1,1
55.978,0.000,0.001,-0.000,-0.000,0.000,-0.000,-0.000,0.029,0.017,-0.22,0.000136,-0.000777,-0.004401,-0.000688,0.000443,-0.000685,15880,-134,-232,-53,1,-9,1,12.9960233,77.4749908,197.00,0.500,0.00,0.00,2.12,0.012,1.652,-0.000,-0.012,-1.652,1.652,1,1,1,0,0,0,0.000,1.00,0.61,0.00,0.100,0.000,0.001,-0.000,1,1
56.979,-0.000,0.002,-0.000,0.000,-0.000,-0.000,-0.001,-0.000,0.007,0.71,0.000458,-0.001140,-0.004660,-0.000592,0.000255,0.000944,15866,-184,-232,-56,-14,3,1,12.9960332,77.4749883,196.60,0.500,0.00,0.00,2.12,-0.300,2.751,-0.459,0.300,-2.749,2.766,1,1,1,0,0,0,0.000,1.00,1.75,0.00,0.098,-0.000,0.002,-0.000,1,1
57.979,-0.000,0.002,-0.000,0.000,-0.000,-0.000,-0.010,-0.017,-0.000,-0.14,0.000315,-0.000847,-0.004872,-0.000774,0.000220,0.000665,15855,-209,-245,-52,9,-10,1,12.9960365,77.4749858,196.70,0.500,0.00,0.00,2.12,-0.573,3.017,-0.282,0.573,-3.015,3.069,1,1,1,0,0,0,0.000,1.00,2.11,0.00,0.093,-0.000,0.002,-0.000,1,1
58.980,-0.001,0.002,-0.000,0.000,-0.000,-0.000,-0.008,0.004,0.023,1.62,0.000670,-0.001555,-0.005034,-0.000457,0.000541,0.000690,15892,-171,-245,-52,-10,-6,1,12.9960333,77.4749788,196.90,0.500,0.00,0.00,2.12,-1.408,2.554,-0.069,1.408,-2.552,2.914,1,1,1,0,0,0,0.000,1.00,1.89,0.00,0.092,-0.001,0.002,-0.000,1,1
59.980,-0.001,0.002,-0.000,0.000,-0.000,-0.000,-0.010,-0.008,0.016,3.91,0.001271,-0.002548,-0.005139,-0.000819,0.001454,0.000883,15880,-196,-258,-50,-20,-23,1,12.9960317,77.4749743,197.60,0.500,0.00,0.00,2.12,-1.801,2.426,0.631,1.800,-2.424,3.019,1,1,1,0,0,0,0.000,1.00,2.12,0.00,0.090,-0.001,0.002,-0.000,1,1
60.981,-0.001,0.002,0.000,0.000,-0.000,-0.000,-0.023,-0.029,0.001,1.81,0.000902,-0.001528,-0.005236,0.000247,0.000658,0.000940,15856,-221,-270,-58,-6,0,1,12.9960250,77.4749650,197.50,0.500,0.00,0.00,2.12,-2.705,1.757,0.521,2.704,-1.755,3.223,1,1,1,0,0,0,0.000,1.00,2.37,0.00,0.084,-0.001,0.002,0.000,1,1
61.982,-0.002,0.002,0.000,0.000,-0.000,-0.000,0.036,0.015,-0.022,1.91,0.000977,-0.001560,-0.005365,0.000652,0.000668,0.000803,15817,-147,-170,-53,8,-5,1,12.9960128,77.4749527,197.60,0.500,0.00,0.00,2.12,-3.353,1.130,0.535,3.351,-1.128,3.535,1,1,1,0,0,0,0.000,1.00,2.84,0.00,0.083,-0.002,0.002,0.000,1,1
62.983,-0.003,0.001,0.000,0.000,-0.000,-0.000,0.012,0.010,-0.008,-3.40,-0.000102,0.000475,-0.005488,0.000144,-0.000019,0.000093,15840,-159,-207,-62,-13,12,1,12.9960128,77.4749527,197.60,0.500,0.00,0.00,2.12,-4.216,0.247,0.608,4.213,-0.246,4.220,1,1,1,0,0,0,0.000,1.00,4.05,0.00,0.079,-0.003,0.001,0.000,1,1
63.984,-0.004,-0.000,0.000,-0.000,-0.000,-0.000,0.007,-0.024,-0.016,49.25,0.015568,-0.024009,-0.005555,0.000278,-0.000374,-0.000758,15829,-209,-220,-41,-1,2,1,12.9959935,77.4749403,197.50,22.621,40.27,49.73,2.12,-5.593,-1.994,0.490,5.589,1.994,5.934,1,1,1,0,0,0,0.000,1.00,7.89,25581.54,0.077,-0.004,-0.000,0.000,1,1
64.985,-0.003,-0.001,0.000,-0.000,-0.000,-0.000,0.001,-0.011,-0.051,49.27,0.015745,-0.024494,-0.005701,0.000912,0.000398,0.000045,15768,-184,-220,-59,15,0,1,12.9959685,77.4749180,197.60,22.621,40.27,49.73,2.12,-8.234,-4.950,0.615,8.231,4.950,9.605,1,1,1,0,0,0,0.000,1.00,20.61,0.00,0.075,-0.003,-0.001,0.000,1,1
65.985,-0.001,-0.000,0.000,-0.000,-0.000,-0.000,0.007,-0.008,0.000,49.25,0.016658,-0.025939,-0.005834,-0.001132,0.000019,0.000427,15856,-209,-208,-64,-9,18,1,12.9959390,77.4749243,197.60,22.621,40.27,49.73,2.12,-7.081,-8.324,0.599,7.080,8.324,10.928,1,1,0,0,0,0,0.000,1.00,26.65,0.00,0.070,-0.001,-0.000,0.000,1,1
66.986,-0.001,-0.000,0.000,-0.000,0.000,-0.000,-0.033,0.001,-0.019,49.22,0.017117,-0.026828,-0.005962,-0.002314,-0.000085,0.000991,15818,-159,-245,-49,-23,-4,1,12.9959250,77.4749247,197.40,22.621,40.27,49.73,2.12,-7.158,-9.545,0.376,7.157,9.545,11.930,1,1,0,0,0,0,2.676,3.00,31.70,0.00,0.064,-0.001,-0.000,0.000,1,1
67.986,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.003,-0.013,-0.014,49.25,0.017310,-0.027081,-0.006086,-0.001783,-0.000113,0.000267,15830,-209,-232,-65,24,2,1,12.9959090,77.4749302,197.40,22.621,40.27,49.73,2.12,-6.537,-11.230,0.399,6.537,11.230,12.994,1,1,0,0,0,0,3.677,3.00,37.60,0.00,0.061,-0.000,-0.000,0.000,1,1
68.986,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.021,0.046,-0.056,49.46,0.018562,-0.028199,-0.006174,-0.001853,0.001292,-0.000440,15756,-122,-182,-34,-5,6,1,12.9959028,77.4749265,197.00,47.314,40.27,49.73,2.12,-6.834,-11.649,0.120,6.834,11.649,13.506,1,1,0,0,0,0,4.677,3.00,40.59,111897.00,0.056,-0.000,-0.000,-0.000,1,1
69.987,-0.000,-0.000,-0.000,-0.001,-0.000,-0.000,-0.156,0.066,0.095,49.58,0.019314,-0.028807,-0.006360,-0.000618,0.000081,-0.000187,15992,78,-308,-26,-1,-18,1,12.9958960,77.4749190,197.10,47.314,40.27,49.73,2.12,-7.312,-12.158,0.020,7.312,12.158,14.187,1,1,1,0,1,0,0.000,1.00,0.45,0.00,0.054,-0.000,-0.000,-0.000,1,1
70.988,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.004,0.008,-0.043,49.61,0.019520,-0.029720,-0.006727,-0.000477,0.000655,-0.000666,15779,-184,-207,-65,-10,-17,1,12.9958960,77.4749190,197.10,47.314,40.27,49.73,2.12,-7.836,-12.631,0.109,7.836,12.631,14.864,1,1,1,0,1,0,0.000,1.00,49.16,0.00,0.053,-0.000,-0.000,-0.000,1,1
71.989,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.009,0.019,-0.027,49.63,0.019896,-0.030709,-0.007032,-0.001070,0.000556,-0.000886,15805,-159,-207,-47,-7,-30,1,12.9958827,77.4749167,197.10,47.314,40.27,49.73,2.12,-8.048,-14.191,0.099,8.048,14.191,16.314,1,1,0,0,0,0,0.000,1.00,59.22,0.00,0.050,-0.000,-0.000,-0.000,1,1
72.989,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.018,-0.006,-0.026,49.61,0.020376,-0.031092,-0.007205,-0.001186,0.000182,-0.000473,15805,-171,-245,-32,-28,10,1,12.9973028,77.4772672,660.80,47.314,40.27,49.73,1.52,246.994,143.072,463.794,-246.994,-143.072,285.439,1,1,0,0,0,0,2.955,3.00,128339.50,0.00,0.045,-0.000,-0.000,-0.000,1,1
