time_s,ekf_lat,ekf_lon,V_E,V_N,V_U,A_E,A_N,A_U,yaw_deg,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gnss_fix,lat_deg,lon_deg,alt_m,speed_mps,course_deg,yaw_enu_deg,hdop,gnss_E,gnss_N,gnss_U,err_E,err_N,err_H,gnss_present,gnss_valid,gnss_used_pos,gnss_used_vel,reacq_active,snap_applied,outage_s,qscale,nis_pos,nis_vel,gnss_meas_age_s,pred_E,pred_N,pred_U,zupt_active,anchor_active
178.595, 12.985153300,77.543570800, -0.000,0.000,0.0, -0.254,-0.130,0.0,-0.01,0.000000,0.0,0.0,0.0,0.0,0.000000,16125,-1688,1660,-15,-280,-317,1,12.9851533,77.5435708,886.20,0.500,0.00,0.00,2.16,0.000,0.000,0.0,-0.000,0.000,0.000,1,1,0,0,0,0,0.000,1.00,0.00,0.00,0.000,-0.000,0.000,0.0,0,0
179.596, 12.985153480,77.543568815, -0.713,0.088,0.0, -0.854,0.483,0.0,-13.02,-0.001892,0.0,0.0,0.0,0.0,0.000001,15225,-260,1810,-79,490,-747,1,12.9851533,77.5435708,886.20,0.500,0.00,0.00,2.16,0.000,0.000,0.0,-0.215,0.020,0.216,1,1,1,0,0,0,0.000,1.00,0.01,0.00,0.100,-0.215,0.020,0.0,0,0
180.596, 12.985169510,77.543537139, -2.826,1.588,0.0, -0.781,0.152,0.0,-45.99,0.063587,0.0,0.0,0.0,0.0,0.000404,16000,-1204,1972,-217,175,-481,1,12.9851655,77.5435443,886.60,0.000,0.00,0.00,2.16,-3.233,1.518,0.0,-0.420,0.276,0.502,1,1,1,0,0,0,0.000,1.00,0.02,0.00,0.099,-3.652,1.794,0.0,0,0
181.600, 12.985178079,77.543475145, -5.845,1.108,0.0, -1.126,0.583,0.0,-2.60,0.233689,0.0,0.0,0.0,0.0,-0.005017,15012,-731,1723,-420,371,-139,1,12.9851757,77.5434860,886.40,0.000,0.00,0.00,2.16,-9.969,2.610,0.0,-0.410,0.132,0.431,1,1,1,0,0,0,0.000,1.00,0.12,0.00,0.000,-10.446,2.754,0.0,0,0
182.601, 12.985194185,77.543381559, -8.783,1.187,0.0, -0.348,0.427,0.0,7.07,0.697688,0.0,0.0,0.0,0.0,-0.005397,16851,238,3210,-380,-316,-49,1,12.9851992,77.5433772,885.80,0.000,0.00,0.00,2.16,-21.007,5.079,0.0,0.473,-0.555,0.729,1,1,1,0,0,0,0.000,1.00,1.34,0.00,0.097,-20.534,4.524,0.0,0,0
183.602, 12.985210556,77.543307787, -9.406,1.660,0.0, -0.519,1.084,0.0,-8.71,0.545601,0.0,0.0,0.0,0.0,-0.003326,14575,-507,1609,-374,101,32,1,12.9852083,77.5433275,885.60,0.000,0.00,0.00,2.16,-27.055,6.208,0.0,-1.484,0.127,1.489,1,1,1,0,0,0,0.000,1.00,0.21,0.00,0.096,-28.539,6.335,0.0,0,0
184.603, 12.985219271,77.543261014, -8.251,1.509,0.0, -0.780,1.205,0.0,-11.01,-0.074410,0.0,0.0,0.0,0.0,-0.013698,15952,-48,2598,-123,126,-76,1,12.9852145,77.5432808,885.20,0.000,0.00,0.00,2.16,-31.049,6.717,0.0,-2.565,0.582,2.630,1,1,1,0,0,0,0.000,1.00,2.06,0.00,0.094,-33.614,7.299,0.0,0,0
185.604, 12.985224687,77.543225087, -6.719,1.185,0.0, -0.348,0.841,0.0,-12.12,-0.581242,0.0,0.0,0.0,0.0,-0.017174,15751,-744,3460,-407,-92,89,1,12.9852263,77.5432370,885.00,0.000,0.00,0.00,2.17,-34.945,7.706,0.0,-2.567,0.193,2.574,1,1,1,0,0,0,0.000,1.00,2.27,0.00,0.092,-37.512,7.899,0.0,0,0
186.604, 12.985233485,77.543195228, -5.424,1.124,0.0, -0.744,1.199,0.0,-18.30,-0.900847,0.0,0.0,0.0,0.0,-0.006520,16339,-173,2535,85,-15,40,1,12.9852263,77.5432370,885.00,0.000,0.00,0.00,2.17,-36.441,8.141,0.0,-4.310,0.732,4.372,1,1,1,0,0,0,0.000,1.00,8.87,0.00,0.090,-40.752,8.872,0.0,0,0
187.604, 12.985243319,77.543164927, -4.667,1.101,0.0, -0.679,0.963,0.0,-24.91,-1.057193,0.0,0.0,0.0,0.0,0.005238,16026,-869,2648,-43,-142,62,1,12.9852380,77.5431962,884.70,0.000,0.00,0.00,2.17,-41.061,9.493,0.0,-2.979,0.467,3.015,1,1,1,0,0,0,0.000,1.00,3.93,0.00,0.089,-44.040,9.960,0.0,0,0
188.605, 12.985252490,77.543137424, -3.943,0.948,0.0, -0.612,1.088,0.0,-32.25,-1.150069,0.0,0.0,0.0,0.0,0.015385,16701,-731,2959,-41,4,52,1,12.9852490,77.5431615,884.50,0.000,0.00,0.00,2.17,-44.852,10.732,0.0,-2.172,0.243,2.185,1,1,1,0,0,0,0.000,1.00,1.95,0.00,0.088,-47.024,10.975,0.0,0,0
189.606, 12.985259584,77.543112392, -3.521,0.833,0.0, -0.476,1.380,0.0,-38.17,-1.208823,0.0,0.0,0.0,0.0,0.019383,15963,-384,2347,-202,9,71,1,12.9852568,77.5431307,884.20,0.000,0.00,0.00,2.17,-48.220,11.571,0.0,-1.520,0.189,1.532,1,1,1,0,0,0,0.000,1.00,0.85,0.00,0.088,-49.740,11.760,0.0,0,0
190.607, 12.985267060,77.543078014, -3.391,0.661,0.0, -0.479,0.819,0.0,-43.29,-1.194276,0.0,0.0,0.0,0.0,0.020566,16075,-806,3423,230,173,-111,1,12.9852662,77.5430775,883.40,0.000,0.00,0.00,2.17,-54.430,12.653,0.0,0.959,-0.066,0.962,1,1,1,0,0,0,0.000,1.00,0.92,0.00,0.088,-53.470,12.587,0.0,0,0
191.607, 12.985270193,77.543048069, -3.157,0.364,0.0, -0.305,0.665,0.0,-51.41,-1.196919,0.0,0.0,0.0,0.0,0.024371,15552,-1241,3486,83,-48,-102,1,12.9852658,77.5430513,882.60,0.000,0.00,0.00,2.17,-56.691,12.438,0.0,-0.028,0.496,0.496,1,1,1,0,0,0,0.000,1.00,0.15,0.00,0.085,-56.720,12.934,0.0,0,0
192.608, 12.985270239,77.543023337, -3.076,0.340,0.0, -0.610,1.255,0.0,-57.81,-1.214788,0.0,0.0,0.0,0.0,0.024584,15839,-185,2947,-202,260,-20,1,12.9852665,77.5430262,881.70,0.000,0.00,0.00,2.17,-59.233,12.528,0.0,-0.170,0.411,0.445,1,1,1,0,0,0,0.000,1.00,0.09,0.00,0.081,-59.403,12.939,0.0,0,0
193.610, 12.985272821,77.542997164, -3.169,0.595,0.0, -0.529,1.340,0.0,-62.90,-1.224864,0.0,0.0,0.0,0.0,0.023205,16128,-371,3323,-33,-157,50,1,12.9852733,77.5429977,880.80,0.000,0.00,0.00,2.17,-62.367,13.313,0.0,0.124,-0.088,0.152,1,1,1,0,0,0,0.000,1.00,0.09,0.00,0.082,-62.243,13.225,0.0,0,0
194.611, 12.985279528,77.542969891, -3.358,1.154,0.0, -0.930,1.823,0.0,-67.68,-1.233465,0.0,0.0,0.0,0.0,0.023353,15689,-607,3673,-190,68,107,1,12.9852770,77.5429678,881.00,0.000,0.00,0.00,2.17,-65.183,13.663,0.0,-0.019,0.304,0.304,1,1,1,0,0,0,0.000,1.00,0.06,0.00,0.081,-65.202,13.967,0.0,0,0
195.612, 12.985290597,77.542945731, -3.005,2.260,0.0, -0.684,2.877,0.0,-92.71,-1.251645,0.0,0.0,0.0,0.0,0.052166,14863,-223,1685,218,-179,27,1,12.9852893,77.5429413,881.40,0.000,0.00,0.00,2.02,-66.675,14.242,0.0,-1.149,0.949,1.490,1,1,1,0,0,0,0.000,1.00,0.95,0.00,0.081,-67.824,15.191,0.0,0,0
196.613, 12.985313318,77.542927602, -1.932,4.368,0.0, -0.458,4.981,0.0,-110.10,-1.268923,0.0,0.0,0.0,0.0,0.066556,15939,64,-1228,7,-188,11,1,12.9852893,77.5429413,881.40,0.000,0.00,0.00,2.02,-68.503,15.146,0.0,-1.288,2.560,2.865,1,1,1,0,0,0,0.000,1.00,4.09,0.00,0.081,-69.791,17.705,0.0,0,0
